k,lsa_cv,lsa_umass,lsa_explained_variance,lda_cv,lda_cv_sd,lda_umass,lda_perplexity,seconds
5,0.281064083427251,-8.705120035517613,0.04047556046060246,0.3499947360438996,0.02844505039920347,-13.425791423279406,156.98588303271345,11.86676549911499
8,0.2967597110194568,-9.582168740040771,0.05498859526307525,0.35586891435667883,0.007364241407738193,-13.998562181458352,162.20575167472174,10.878705263137817
10,0.310278165981427,-9.344864932961098,0.06286441038120616,0.3749890742412474,0.019267484683267933,-14.923674150257442,164.97783744394897,10.884481191635132
12,0.32816655064154215,-10.0695767662142,0.07044127667890523,0.3856330645026527,0.004873533647566257,-15.731011229165718,165.76414691061203,10.829926013946533
15,0.3328970777323994,-10.152777672893594,0.08121399136331761,0.3816408238659246,0.007272538924274027,-16.426043209780374,624.5658617203896,10.22781777381897
20,0.35091470006122183,-10.315990848763262,0.09695900575085159,0.41464562033064306,0.015284978962474813,-17.56713945152052,4812.309528651723,10.11348032951355
25,0.34040726310576264,-10.63740475895515,0.11074749736574367,0.4200172511175335,0.010964298059926884,-17.46264921009791,11290.902231981638,9.999167442321777
30,0.3504112697205889,-11.658799302359524,0.12353556039106993,0.41967359248999997,0.008717324671633301,-17.766835852563265,25300.368416310157,10.085513353347778
40,0.34647046119515046,-12.400872019713296,0.14665145543244903,0.43812983516707865,0.009249075641092229,-18.37018970504759,157474.55347382402,11.067511320114136
50,0.3577649450319276,-12.709905921497347,0.1666974615131414,0.43222853511755566,0.003444887440973308,-18.2463188862661,1337672.0914058571,12.577510118484497
60,0.36209634422984666,-13.089723405299377,0.18502309900682265,0.4533267740744495,0.005265459712409631,-18.417710660332318,10957486.468862435,12.482181310653687
